,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
PULO GADUNG,135445.0,120754.0,146856.0,143241.0,162828.0,165604.0,179168.0,171652.0,168276.0,182726.0,166077.0,171358.0,159498.75,182726.0,5316.625,797.49375
BERMIS,16622.0,14623.0,15456.0,13340.0,16032.0,15889.0,17738.0,16870.0,16687.0,18397.0,16015.0,16035.0,16142.0,18397.0,538.0666666666667,80.71000000000001
PULO MAS,37062.0,33854.0,36019.0,31523.0,38370.0,39497.0,43960.0,44343.0,42079.0,47041.0,43763.0,44215.0,40143.833333333336,47041.0,1338.127777777778,200.7191666666667
PERINTIS KEMERDEKAAN,27222.0,23970.0,26004.0,23013.0,27680.0,27057.0,30021.0,30005.0,29881.0,32668.0,29354.0,28362.0,27936.416666666668,32668.0,931.213888888889,139.68208333333334
PEDONGKELAN,8754.0,8057.0,8066.0,6683.0,8423.0,8052.0,10273.0,10444.0,9807.0,11342.0,9781.0,9403.0,9090.416666666666,11342.0,303.01388888888886,45.45208333333333
CEMPAKA MAS,59873.0,55089.0,59676.0,53404.0,59601.0,57799.0,64359.0,63991.0,62597.0,68277.0,63757.0,66118.0,61211.75,68277.0,2040.3916666666667,306.05875
SUMUR BATU,43150.0,40379.0,42330.0,35554.0,45822.0,42027.0,47307.0,47666.0,47676.0,54708.0,49917.0,48988.0,45460.333333333336,54708.0,1515.3444444444444,227.30166666666665
CEMPAKA BARU,21435.0,18263.0,20474.0,16971.0,21513.0,21299.0,23560.0,24464.0,26327.0,27978.0,25928.0,25887.0,22841.583333333332,27978.0,761.3861111111111,114.20791666666666
PASAR CEMPAKA PUTIH,22002.0,19925.0,21174.0,18289.0,22086.0,21828.0,25179.0,25651.0,24957.0,26420.0,24512.0,25276.0,23108.25,26420.0,770.275,115.54124999999999
RAWA SELATAN,32733.0,29641.0,30202.0,27230.0,32020.0,32223.0,35140.0,35494.0,35596.0,37700.0,35863.0,37411.0,33437.75,37700.0,1114.5916666666667,167.18875
GALUR,40946.0,36842.0,37108.0,33795.0,39344.0,38650.0,42308.0,42327.0,40940.0,43934.0,40835.0,41857.0,39907.166666666664,43934.0,1330.2388888888888,199.53583333333333
SENEN RAYA,11235.0,10175.0,10474.0,10552.0,11085.0,10453.0,11849.0,11920.0,11079.0,10939.0,10646.0,11064.0,10955.916666666666,11920.0,365.1972222222222,54.77958333333333
RSPAD,15123.0,13311.0,15175.0,12542.0,15617.0,14947.0,16980.0,15720.0,16911.0,20016.0,18205.0,17299.0,15987.166666666666,20016.0,532.9055555555556,79.93583333333333
PEJAMBON,9332.0,7693.0,7789.0,5988.0,7770.0,7444.0,10876.0,9916.0,8838.0,9982.0,9438.0,8675.0,8645.083333333334,10876.0,288.1694444444445,43.22541666666667
GAMBIR,19953.0,15447.0,13247.0,16202.0,16282.0,19369.0,20238.0,17516.0,17984.0,23413.0,15406.0,17278.0,17694.583333333332,23413.0,589.8194444444445,88.47291666666666
ISTIQLAL,5919.0,3816.0,4578.0,4318.0,4084.0,5335.0,7936.0,5044.0,5089.0,8171.0,4472.0,5770.0,5377.666666666667,8171.0,179.25555555555556,26.888333333333332
JUANDA,163612.0,144580.0,175519.0,157817.0,166174.0,173956.0,195346.0,180773.0,184588.0,213181.0,184240.0,202600.0,178532.16666666666,213181.0,5951.072222222222,892.6608333333332
PECENONGAN,45401.0,37676.0,38588.0,33766.0,40492.0,40309.0,49299.0,49735.0,45331.0,57585.0,44194.0,43122.0,43791.5,57585.0,1459.7166666666667,218.9575
BALAI KOTA,92171.0,71204.0,60945.0,77537.0,90168.0,106565.0,113984.0,92509.0,100969.0,104300.0,89573.0,115810.0,92977.91666666667,115810.0,3099.263888888889,464.88958333333335
GAMBIR 2,18449.0,11884.0,11192.0,11717.0,14222.0,15844.0,19602.0,16245.0,17551.0,16939.0,14274.0,14860.0,15231.583333333334,19602.0,507.7194444444445,76.15791666666667
KWITANG,27339.0,25183.0,25222.0,21050.0,26499.0,26792.0,30059.0,31020.0,30429.0,35933.0,31225.0,31382.0,28511.083333333332,35933.0,950.3694444444444,142.55541666666664
PASAR SENEN,34867.0,32634.0,34527.0,33952.0,35602.0,36589.0,40447.0,40383.0,42111.0,41626.0,42919.0,48570.0,38685.583333333336,48570.0,1289.5194444444446,193.42791666666668
